date,number_week,rank,name,symbol,market_cap,price,circulating_supply,volume,%_1h,%_24h,%_7d
2017-01-01,52,1,Bitcoin,BTC,16050414526.0,998.33,16077337,998.33,-0.42,3.71,11.16
2017-01-01,52,2,Ethereum,ETH,715049311.0,8.17,87493800,8.17,0.88,1.78,12.98
2017-01-01,52,3,XRP,XRP,231408729.0,0.006368,36337298649,0.006368,-0.16,-2.03,-0.73
2017-01-01,52,4,Litecoin,LTC,221718486.0,4.51,49144154,4.51,-0.07,3.81,3.02
2017-01-01,52,5,Monero,XMR,190983552.0,13.97,13668252,13.97,3.01,1.44,43.15
2017-01-01,52,6,Ethereum Classic,ETC,122202804.0,1.40,87444118,1.40,0.54,-1.21,30.52
2017-01-01,52,7,Dash,DASH,78524020.0,11.23,6992839,11.23,-0.33,0.19,11.78
2017-01-01,52,8,Augur,REP,43994860.0,4.00,11000000,4.00,1.8,5.62,41.67
2017-01-01,52,9,MaidSafeCoin,MAID,43862003.0,0.09692,452552412,0.09692,1.25,-2.34,-2.55
2017-01-01,52,10,Steem,STEEM,36999610.0,0.1612,229582096,0.1612,-0.55,-7.27,16.93
2017-01-01,52,11,NEM,XEM,30962258.0,0.00344,8999999999,0.00344,0.08,-6.90,-3.62
2017-01-01,52,12,Iconomi,ICN,26381302.0,0.3032,87000000,0.3032,-1.71,-2.66,-9.07
2017-01-01,52,13,Factom,FCT,25392986.0,2.90,8753219,2.90,1.52,-3.38,18.61
2017-01-01,52,14,Dogecoin,DOGE,24501946.0,0.0002278,107543546602,0.0002278,0.14,1.07,-1.71
2017-01-01,52,15,Waves,WAVES,22132166.0,0.2213,100000000,0.2213,0.53,-11.46,9.23
2017-01-01,52,16,DigixDAO,DGD,18079172.0,9.04,2000000,9.04,-0.47,5.85,5.20
2017-01-01,52,17,Stellar,XLM,17173253.0,0.002481,6921534188,0.002481,-0.62,1.05,-4.87
2017-01-01,52,18,Zcash,ZEC,16958474.0,48.47,349869,48.47,-0.37,0.31,5.14
2017-01-01,52,19,Lisk,LSK,15220159.0,0.1502,101301175,0.1502,0.09,4.03,4.84
2017-01-01,52,20,GameCredits,GAME,13091197.0,0.2193,59695275,0.2193,1.27,7.09,10.70
2017-01-01,52,21,EDC Blockchain,EDC,12632600.0,0.9274,13621634,0.9274,1.04,-6.93,6.31
2017-01-01,52,22,BitShares,BTS,10440285.0,0.004049,2578560000,0.004049,0.23,1.90,-5.00
2017-01-01,52,23,Swiscoin,SCN,10381862.0,0.02188,474542821,0.02188,-0.52,4.56,-13.77
2017-01-01,52,24,Ardor,ARDR,10161981.0,0.01017,998999495,0.01017,-2.62,-0.01,-6.37
2017-01-01,52,25,Tether,USDT,9951674.0,1.00,9951590,1.00,0.0,0.00,0.00
2017-01-01,52,26,Xaurum,XAUR,8866035.0,0.09973,88898239,0.09973,-0.47,12.61,62.91
2017-01-01,52,27,Gulden,NLG,8612954.0,0.0255,337740845,0.0255,2.01,-4.24,14.26
2017-01-01,52,28,ShadowCash,SDC,7187304.0,1.09,6614489,1.09,0.21,-12.81,4.65
2017-01-01,52,29,Stratis,STRAT,7108501.0,0.07238,98213348,0.07238,-3.76,0.34,11.65
2017-01-01,52,30,Neo,NEO,7092055.0,0.1418,50000000,0.1418,-0.04,-2.02,-3.28
2017-01-01,52,31,Golem,GNT,6720074.0,0.009868,681009001,0.009868,-0.4,1.88,-13.34
2017-01-01,52,32,Emercoin,EMC,6419058.0,0.1636,39235691,0.1636,0.04,-6.48,-15.51
2017-01-01,52,33,Storjcoin X,SJCX,6285603.0,0.1245,50468144,0.1245,0.62,-3.50,2.92
