date,number_week,rank,name,symbol,market_cap,price,circulating_supply,volume,%_1h,%_24h,%_7d
2017-01-01,52,1,Bitcoin,BTC,"$16,050,414,526",$998.33,"16,077,337","$147,775,168",-0.42,3.71,11.16
2017-01-01,52,2,Ethereum,ETH,"$715,049,311",$8.17,"87,493,800","$14,731,686",0.88,1.78,12.98
2017-01-01,52,3,XRP,XRP,"$231,408,729",$0.006368,"36,337,298,649","$418,978",-0.16,-2.03,-0.73
2017-01-01,52,4,Litecoin,LTC,"$221,718,486",$4.51,"49,144,154","$11,337,498",-0.07,3.81,3.02
2017-01-01,52,5,Monero,XMR,"$190,983,552",$13.97,"13,668,252","$3,923,545",3.01,1.44,43.15
2017-01-01,52,6,Ethereum Classic,ETC,"$122,202,804",$1.40,"87,444,118","$3,570,371",0.54,-1.21,30.52
2017-01-01,52,7,Dash,DASH,"$78,524,020",$11.23,"6,992,839","$3,684,212",-0.33,0.19,11.78
2017-01-01,52,8,Augur,REP,"$43,994,860",$4.00,"11,000,000","$230,517",1.80,5.62,41.67
2017-01-01,52,9,MaidSafeCoin,MAID,"$43,862,003",$0.09692,"452,552,412","$457,685",1.25,-2.34,-2.55
2017-01-01,52,10,Steem,STEEM,"$36,999,610",$0.1612,"229,582,096","$108,192",-0.55,-7.27,16.93
2017-01-01,52,11,NEM,XEM,"$30,962,258",$0.00344,"8,999,999,999","$78,880",0.08,-6.90,-3.62
2017-01-01,52,12,Iconomi,ICN,"$26,381,302",$0.3032,"87,000,000","$198,818",-1.71,-2.66,-9.07
2017-01-01,52,13,Factom,FCT,"$25,392,986",$2.90,"8,753,219","$1,062,018",1.52,-3.38,18.61
2017-01-01,52,14,Dogecoin,DOGE,"$24,501,946",$0.0002278,"107,543,546,602","$136,829",0.14,1.07,-1.71
2017-01-01,52,15,Waves,WAVES,"$22,132,166",$0.2213,"100,000,000","$35,423",0.53,-11.46,9.23
